student_id,study_hours,attendance,previous_marks,assignment_score,pass
1,1.7,68,57,54,0
2,2.4,81,74,73,1
3,3.1,94,91,92,1
4,3.8,61,52,50,0
5,4.5,74,69,69,1
6,5.2,87,86,88,1
7,5.9,100,47,46,1
8,6.6,67,64,65,1
9,1.2,80,81,84,0
10,1.9,93,42,42,0
11,2.6,60,59,61,0
12,3.3,73,76,80,1
13,4.0,86,93,38,1
14,4.7,99,54,57,1
15,5.4,66,71,76,1
16,6.1,79,88,95,1
17,6.8,92,49,53,1
18,1.4,59,66,72,0
19,2.1,72,83,91,1
20,2.8,85,44,49,0
21,3.5,98,61,68,1
22,4.2,65,78,87,1
23,4.9,78,95,45,1
24,5.6,91,56,64,1
25,6.3,58,73,83,1
26,7.0,71,90,41,1
27,1.6,84,51,60,0
28,2.3,97,68,79,1
29,3.0,64,85,37,0
30,3.7,77,46,56,0
31,4.4,90,63,75,1
32,5.1,57,80,94,1
33,5.8,70,41,52,1
34,6.5,83,58,71,1
35,1.1,96,75,90,1
36,1.8,63,92,48,0
37,2.5,76,53,67,0
38,3.2,89,70,86,1
39,3.9,56,87,44,1
40,4.6,69,48,63,1
41,5.3,82,65,82,1
42,6.0,95,82,40,1
43,6.7,62,43,59,1
44,1.3,75,60,78,0
45,2.0,88,77,36,0
46,2.7,55,94,55,0
47,3.4,68,55,74,0
48,4.1,81,72,93,1
49,4.8,94,89,51,1
50,5.5,61,50,70,1
51,6.2,74,67,89,1
52,6.9,87,84,47,1
53,1.5,100,45,66,0
54,2.2,67,62,85,0
55,2.9,80,79,43,0
56,3.6,93,40,62,1
57,4.3,60,57,81,1
58,5.0,73,74,39,1
59,5.7,86,91,58,1
60,6.4,99,52,77,1
61,1.0,66,69,35,0
62,1.7,79,86,54,1
63,2.4,92,47,73,0
64,3.1,59,64,92,0
65,3.8,72,81,50,1
66,4.5,85,42,69,1
67,5.2,98,59,88,1
68,5.9,65,76,46,1
69,6.6,78,93,65,1
70,1.2,91,54,84,0
71,1.9,58,71,42,0
72,2.6,71,88,61,0
73,3.3,84,49,80,0
74,4.0,97,66,38,1
75,4.7,64,83,57,1
76,5.4,77,44,76,1
77,6.1,90,61,95,1
78,6.8,57,78,53,1
79,1.4,70,95,72,1
80,2.1,83,56,91,1
81,2.8,96,73,49,0
82,3.5,63,90,68,1
83,4.2,76,51,87,1
84,4.9,89,68,45,1
85,5.6,56,85,64,1
86,6.3,69,46,83,1
87,7.0,82,63,41,1
88,1.6,95,80,60,1
89,2.3,62,41,79,0
90,3.0,75,58,37,0
91,3.7,88,75,56,1
92,4.4,55,92,75,1
93,5.1,68,53,94,1
94,5.8,81,70,52,1
95,6.5,94,87,71,1
96,1.1,61,48,90,0
97,1.8,74,65,48,0
98,2.5,87,82,67,1
99,3.2,100,43,86,1
100,3.9,67,60,44,0
101,4.6,80,77,63,1
102,5.3,93,94,82,1
103,6.0,60,55,40,1
104,6.7,73,72,59,1
105,1.3,86,89,78,1
106,2.0,99,50,36,0
107,2.7,66,67,55,0
108,3.4,79,84,74,1
109,4.1,92,45,93,1
110,4.8,59,62,51,1
111,5.5,72,79,70,1
112,6.2,85,40,89,1
113,6.9,98,57,47,1
114,1.5,65,74,66,0
115,2.2,78,91,85,1
116,2.9,91,52,43,0
117,3.6,58,69,62,0
118,4.3,71,86,81,1
119,5.0,84,47,39,1
120,5.7,97,64,58,1
121,6.4,64,81,77,1
122,1.0,77,42,35,0
123,1.7,90,59,54,0
124,2.4,57,76,73,0
125,3.1,70,93,92,1
126,3.8,83,54,50,0
127,4.5,96,71,69,1
128,5.2,63,88,88,1
129,5.9,76,49,46,1
130,6.6,89,66,65,1
131,1.2,56,83,84,0
132,1.9,69,44,42,0
133,2.6,82,61,61,0
134,3.3,95,78,80,1
135,4.0,62,95,38,1
136,4.7,75,56,57,1
137,5.4,88,73,76,1
138,6.1,55,90,95,1
139,6.8,68,51,53,1
140,1.4,81,68,72,0
141,2.1,94,85,91,1
142,2.8,61,46,49,0
143,3.5,74,63,68,1
144,4.2,87,80,87,1
145,4.9,100,41,45,1
146,5.6,67,58,64,1
147,6.3,80,75,83,1
148,7.0,93,92,41,1
149,1.6,60,53,60,0
150,2.3,73,70,79,0
151,3.0,86,87,37,1
152,3.7,99,48,56,1
153,4.4,66,65,75,1
154,5.1,79,82,94,1
155,5.8,92,43,52,1
156,6.5,59,60,71,1
157,1.1,72,77,90,1
158,1.8,85,94,48,0
159,2.5,98,55,67,0
160,3.2,65,72,86,1
161,3.9,78,89,44,1
162,4.6,91,50,63,1
163,5.3,58,67,82,1
164,6.0,71,84,40,1
165,6.7,84,45,59,1
166,1.3,97,62,78,1
167,2.0,64,79,36,0
168,2.7,77,40,55,0
169,3.4,90,57,74,1
170,4.1,57,74,93,1
171,4.8,70,91,51,1
172,5.5,83,52,70,1
173,6.2,96,69,89,1
174,6.9,63,86,47,1
175,1.5,76,47,66,0
176,2.2,89,64,85,0
177,2.9,56,81,43,0
178,3.6,69,42,62,0
179,4.3,82,59,81,1
180,5.0,95,76,39,1
181,5.7,62,93,58,1
182,6.4,75,54,77,1
183,1.0,88,71,35,0
184,1.7,55,88,54,0
185,2.4,68,49,73,0
186,3.1,81,66,92,1
187,3.8,94,83,50,1
188,4.5,61,44,69,1
189,5.2,74,61,88,1
190,5.9,87,78,46,1
191,6.6,100,95,65,1
192,1.2,67,56,84,0
193,1.9,80,73,42,0
194,2.6,93,90,61,1
195,3.3,60,51,80,0
196,4.0,73,68,38,1
197,4.7,86,85,57,1
198,5.4,99,46,76,1
199,6.1,66,63,95,1
200,6.8,79,80,53,1
201,1.4,92,41,72,0
202,2.1,59,58,91,0
203,2.8,72,75,49,0
204,3.5,85,92,68,1
205,4.2,98,53,87,1
206,4.9,65,70,45,1
207,5.6,78,87,64,1
